UKHD;ICU;Normal
01.10.2020;5;6
02.10.2020;4;7
03.10.2020;4;6
04.10.2020;4;5
05.10.2020;4;6
06.10.2020;4;5
07.10.2020;4;5
08.10.2020;4;6
09.10.2020;5;3
10.10.2020;3;5
11.10.2020;3;7
12.10.2020;3;7
13.10.2020;3;7
14.10.2020;3;7
15.10.2020;4;8
16.10.2020;3;11
17.10.2020;3;11
18.10.2020;4;6
19.10.2020;4;6
20.10.2020;3;9
21.10.2020;3;9
22.10.2020;4;8
23.10.2020;3;14
24.10.2020;3;12
25.10.2020;5;11
26.10.2020;5;15
27.10.2020;5;12
28.10.2020;6;9
29.10.2020;9;10
30.10.2020;9;12
31.10.2020;10;11
01.11.2020;9;13
02.11.2020;12;16
03.11.2020;13;17
04.11.2020;14;14
05.11.2020;14;14
06.11.2020;16;13
07.11.2020;17;13
08.11.2020;16;15
09.11.2020;18;14
10.11.2020;19;12
11.11.2020;18;12
12.11.2020;17;14
13.11.2020;17;19
14.11.2020;16;19
15.11.2020;17;22
16.11.2020;16;24
17.11.2020;15;21
18.11.2020;14;21
19.11.2020;14;23
20.11.2020;13;28
21.11.2020;17;24
22.11.2020;17;27
23.11.2020;17;21
24.11.2020;19;23
25.11.2020;22;28
26.11.2020;22;23
27.11.2020;19;25
28.11.2020;20;24
29.11.2020;22;29
30.11.2020;24;27
01.12.2020;21;27
02.12.2020;22;28
03.12.2020;24;27
04.12.2020;25;26
05.12.2020;25;30
06.12.2020;26;33
07.12.2020;27;33
08.12.2020;28;40
09.12.2020;32;42
10.12.2020;32;48
11.12.2020;30;51
12.12.2020;33;52
13.12.2020;37;50
14.12.2020;35;50
15.12.2020;33;51
16.12.2020;34;45
17.12.2020;32;51
18.12.2020;33;51
19.12.2020;36;51
20.12.2020;36;52
21.12.2020;31;49
22.12.2020;34;45
23.12.2020;37;39
24.12.2020;33;44
25.12.2020;34;48
26.12.2020;34;51
27.12.2020;35;52
28.12.2020;34;58
29.12.2020;34;55
30.12.2020;34;52
31.12.2020;30;58
01.01.2021;33;58
02.01.2021;37;61
03.01.2021;34;66
04.01.2021;33;63
05.01.2021;35;61
06.01.2021;32;63
07.01.2021;34;53
08.01.2021;36;48
09.01.2021;39;50
10.01.2021;42;52
11.01.2021;37;55
12.01.2021;36;49
13.01.2021;34;44
14.01.2021;34;46
15.01.2021;35;45
16.01.2021;35;46
17.01.2021;37;45
18.01.2021;34;45
19.01.2021;32;44
20.01.2021;32;39
21.01.2021;30;40
22.01.2021;26;42
23.01.2021;28;38
