Date,TUE_ICU,TUE_NORMAL,FR_ICU,FR_NORMAL
01.10.2020,0,2,,
02.10.2020,0,3,,
03.10.2020,0,2,,
04.10.2020,0,1,,
05.10.2020,0,1,,
06.10.2020,0,3,,
07.10.2020,0,2,,
08.10.2020,0,3,,
09.10.2020,0,4,,
10.10.2020,0,3,,
11.10.2020,0,5,,
12.10.2020,1,5,,
13.10.2020,1,5,,
14.10.2020,1,3,2,5
15.10.2020,0,4,2,5
16.10.2020,0,6,2,5
17.10.2020,0,6,3,6
18.10.2020,0,6,3,6
19.10.2020,3,7,3,7
20.10.2020,3,6,3,7
21.10.2020,2,9,3,7
22.10.2020,2,9,4,8
23.10.2020,2,8,4,8
24.10.2020,3,8,4,8
25.10.2020,4,12,4,8
26.10.2020,4,15,4,7
27.10.2020,4,17,4,7
28.10.2020,4,16,4,7
29.10.2020,4,17,5,8
30.10.2020,5,19,5,9
31.10.2020,5,16,5,10
01.11.2020,5,15,4,12
02.11.2020,5,14,4,14
03.11.2020,4,15,6,17
04.11.2020,4,15,7,16
05.11.2020,4,13,7,14
06.11.2020,4,12,7,12
07.11.2020,5,11,7,12
08.11.2020,5,11,8,11
09.11.2020,5,13,8,11
10.11.2020,5,13,8,11
11.11.2020,7,14,8,10
12.11.2020,7,12,7,9
13.11.2020,7,12,7,9
14.11.2020,7,13,8,9
15.11.2020,8,15,8,8
16.11.2020,9,20,9,8
17.11.2020,8,21,11,9
18.11.2020,8,21,12,10
19.11.2020,10,24,13,11
20.11.2020,10,21,13,11
21.11.2020,10,20,14,11
22.11.2020,10,15,14,10
23.11.2020,10,16,14,10
24.11.2020,10,15,14,12
25.11.2020,11,13,15,14
26.11.2020,6,17,16,15
27.11.2020,5,17,16,16
28.11.2020,5,16,16,18
29.11.2020,4,16,17,19
30.11.2020,4,20,17,20
01.12.2020,4,19,17,21
02.12.2020,4,18,17,22
03.12.2020,5,18,18,22
04.12.2020,5,17,21,25
05.12.2020,5,16,21,27
06.12.2020,5,16,20,28
