Date;ICU;Normal
14.10.2020;2;5
15.10.2020;2;5
16.10.2020;2;5
17.10.2020;3;6
18.10.2020;3;6
19.10.2020;3;7
20.10.2020;3;7
21.10.2020;3;7
22.10.2020;4;8
23.10.2020;4;8
24.10.2020;4;8
25.10.2020;4;8
26.10.2020;4;7
27.10.2020;4;7
28.10.2020;4;7
29.10.2020;5;8
30.10.2020;5;9
31.10.2020;5;10
01.11.2020;4;12
02.11.2020;4;14
03.11.2020;6;17
04.11.2020;7;16
05.11.2020;7;14
06.11.2020;7;12
07.11.2020;7;12
08.11.2020;8;11
09.11.2020;8;11
10.11.2020;8;11
11.11.2020;8;10
12.11.2020;7;9
13.11.2020;7;9
14.11.2020;8;9
15.11.2020;8;8
16.11.2020;9;8
17.11.2020;11;9
18.11.2020;12;10
19.11.2020;13;11
20.11.2020;13;11
21.11.2020;14;11
22.11.2020;14;10
23.11.2020;14;10
24.11.2020;14;12
25.11.2020;15;14
26.11.2020;16;15
27.11.2020;16;16
28.11.2020;16;18
29.11.2020;17;19
30.11.2020;17;20
01.12.2020;17;21
02.12.2020;17;22
03.12.2020;18;22
04.12.2020;21;25
05.12.2020;21;27
06.12.2020;20;28
07.12.2020;20;29
08.12.2020;19;30
09.12.2020;17;30
10.12.2020;16;31
11.12.2020;19;31
12.12.2020;20;31
13.12.2020;21;30
14.12.2020;23;30
15.12.2020;25;33
16.12.2020;24;36
17.12.2020;24;33
18.12.2020;26;31
19.12.2020;28;31
20.12.2020;28;31
21.12.2020;29;31
22.12.2020;29;39
23.12.2020;28;37
24.12.2020;28;38
25.12.2020;29;39
26.12.2020;30;40
27.12.2020;30;42
28.12.2020;31;43
29.12.2020;30;44
30.12.2020;30;45
31.12.2020;30;45
01.01.2021;30;46
02.01.2021;30;46
03.01.2021;29;47
04.01.2021;29;48
05.01.2021;31;47
06.01.2021;30;46
07.01.2021;28;44
08.01.2021;29;42
09.01.2021;29;41
10.01.2021;29;40
11.01.2021;28;39
12.01.2021;27;41
13.01.2021;24;40
14.01.2021;23;39
15.01.2021;20;37
16.01.2021;21;35
17.01.2021;22;34
18.01.2021;23;32
19.01.2021;20;31
20.01.2021;21;30
21.01.2021;21;27
22.01.2021;18;27
23.01.2021;19;26
24.01.2021;20;26
25.01.2021;20;26
26.01.2021;21;24
27.01.2021;21;19
28.01.2021;22;19
29.01.2021;22;18
30.01.2021;21;18
31.01.2021;19;18
01.02.2021;17;18
02.02.2021;18;15
03.02.2021;15;18
04.02.2021;15;18
05.02.2021;15;17
06.02.2021;15;17
07.02.2021;15;17
08.02.2021;15;17
09.02.2021;15;18
10.02.2021;15;18
11.02.2021;13;19
12.02.2021;12;19
13.02.2021;12;19
14.02.2021;13;18
15.02.2021;14;18
16.02.2021;17;15
17.02.2021;17;15
18.02.2021;17;15
19.02.2021;17;15
20.02.2021;16;14
21.02.2021;16;14
22.02.2021;15;14
23.02.2021;15;13
24.02.2021;14;13
25.02.2021;13;13
26.02.2021;13;13
27.02.2021;13;13
28.02.2021;13;13
01.03.2021;13;13
02.03.2021;12;11
03.03.2021;12;11
04.03.2021;12;10
05.03.2021;13;10
